ZIP code,City,Price
32615,Alachua,1280
32616,Alachua,1280
32816,Alafaya,790
32820,Alafaya,790
32825,Alafaya,790
32826,Alafaya,790
32828,Alafaya,790
32831,Alafaya,790
32833,Alafaya,790
32834,Alafaya,790
32878,Alafaya,790
32123,Allandale,885
32346,Alligator Point,1875
32792,Aloma,800
32701,Altamonte Springs,890
32714,Altamonte Springs,890
32715,Altamonte Springs,890
32716,Altamonte Springs,890
32702,Altoona,1080
33820,Alturas,800
33920,Alva,610
32034,Amelia City,1320
32034,Amelia Island,1320
32035,Amelia Village,1320
34216,Anna Maria,850
32617,Anthony,1070
33572,Apollo Beach,790
32703,Apopka,885
32704,Apopka,885
32712,Apopka,885
34265,Arcadia,675
34266,Arcadia,675
34269,Arcadia,675
32618,Archer,1150
34679,Aripeka,1000
34705,Astatula,940
32102,Astor,950
32233,Atlantic Bch,1285
32224,Atlantic Beach,1285
32233,Atlantic Beach,1285
33462,Atlantis,290
33823,Auburndale,860
34142,Ave Maria,535
34143,Ave Maria,535
33160,Aventura,200
33180,Aventura,200
33280,Aventura,200
33825,Avon Park,700
33826,Avon Park,700
32807,Azalea Park,795
33827,Babson Park,700
33154,Bal Harbour,195
32234,Baldwin,1280
33503,Balm,840
32105,Barberville,950
32976,Barefoot Bay,665
34134,Barefoot Beach,640
33830,Bartow,800
33831,Bartow,800
34972,Basinger,605
33154,Bay Harbor Island,190
33744,Bay Pines,815
34667,Bayonet Point,900
32619,Bell,1280
33430,Belle Glade,385
32809,Belle Isle,790
32812,Belle Isle,790
33756,Belleair,905
33785,Belleair Bch,915
33786,Belleair Bch,915
33785,Belleair Beach,915
33786,Belleair Beach,915
33770,Belleair Bluff,940
33770,Belleair Bluffs,940
33786,Belleair Shores,910
33786,Belleair Shrs,910
34420,Belleview,1025
34421,Belleview,1025
34464,Beverly Hills,1040
34465,Beverly Hills,1040
33043,Big Pine Key,610
33042,Big Torch Key,665
33161,Biscayne Park,190
33181,Biscayne Park,190
33261,Biscayne Park,190
33921,Boca Grande,715
33427,Boca Raton,290
33428,Boca Raton,290
33429,Boca Raton,290
33431,Boca Raton,290
33432,Boca Raton,290
33433,Boca Raton,290
33434,Boca Raton,290
33464,Boca Raton,290
33481,Boca Raton,290
33486,Boca Raton,290
33487,Boca Raton,290
33488,Boca Raton,290
33496,Boca Raton,290
33497,Boca Raton,290
33498,Boca Raton,290
33499,Boca Raton,290
33922,Bokeelia,670
34134,Bonita Beach,640
34133,Bonita Springs,640
34134,Bonita Springs,640
34135,Bonita Springs,640
34136,Bonita Springs,640
32007,Bostwick,1075
33834,Bowling Green,765
33424,Boynton Beach,270
33425,Boynton Beach,270
33426,Boynton Beach,270
33435,Boynton Beach,270
33436,Boynton Beach,270
33437,Boynton Beach,270
33472,Boynton Beach,270
33473,Boynton Beach,270
33474,Boynton Beach,270
34201,Braden River,800
34203,Braden River,800
34204,Braden River,800
34211,Braden River,800
34201,Bradenton,800
34202,Bradenton,800
34203,Bradenton,800
34204,Bradenton,800
34205,Bradenton,800
34206,Bradenton,800
34207,Bradenton,800
34208,Bradenton,800
34209,Bradenton,800
34210,Bradenton,800
34211,Bradenton,800
34212,Bradenton,800
34280,Bradenton,800
34281,Bradenton,800
34282,Bradenton,800
34217,Bradenton Beach,825
34218,Bradenton Beach,825
33835,Bradley,800
33508,Brandon,830
33509,Brandon,830
33510,Brandon,830
33511,Brandon,830
32008,Branford,1335
33231,Brickell,190
33435,Briny Breezes,280
32621,Bronson,1140
32622,Brooker,1285
34601,Brooksville,950
34602,Brooksville,950
34603,Brooksville,950
34604,Brooksville,950
34605,Brooksville,950
34606,Brooksville,950
34607,Brooksville,950
34608,Brooksville,950
34609,Brooksville,950
34610,Brooksville,950
34611,Brooksville,950
34613,Brooksville,950
34614,Brooksville,950
33438,Bryant,490
33439,Bryant,490
32009,Bryceville,1340
34743,Buena Ventura Lakes,800
32110,Bunnell,1030
33513,Bushnell,940
34743,BVL,805
33158,C Gables,190
33234,C Gables,190
32011,Callahan,1340
33438,Canal Point,480
33439,Canal Point,480
32925,Canaveral Air Station,790
32925,Canaveral As,790
32111,Candler,1075
32920,Cape Canaveral,785
33904,Cape Coral,635
33909,Cape Coral,635
33910,Cape Coral,635
33914,Cape Coral,635
33915,Cape Coral,635
33990,Cape Coral,635
33991,Cape Coral,635
33993,Cape Coral,635
33910,Cape Coral South,635
33946,Cape Haze,800
33947,Cape Haze,800
33924,Captiva,670
33239,Carl Fisher,190
33055,Carol City,190
33056,Carol City,190
32322,Carrabelle,1925
33618,Carrollwood,790
33625,Carrollwood,790
33688,Carrollwood,790
32706,Cassadaga,900
32707,Casselberry,820
32708,Casselberry,820
32718,Casselberry,820
32719,Casselberry,820
32730,Casselberry,820
32625,Cedar Key,1085
34747,Celebration,795
33514,Center Hill,905
33896,Champions Gate,790
32626,Chiefland,1135
32644,Chiefland,1135
34138,Chokoloskee,520
32709,Christmas,840
32766,Chuluota,825
32113,Citra,1080
34442,Citrus Hills,1040
32966,Citrus Ridge,660
32968,Citrus Ridge,660
32969,Citrus Ridge,660
34433,Citrus Springs,1040
34434,Citrus Springs,1040
33313,City of Sunrise,200
33619,Clair Mel,800
33619,Clair Mel City,800
